FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,PAIR_REJ_ANTICHAIN,PAIR_DEL_ANTICHAIN,PAIR_LEFT_ANTICHAIN,TRANS_USED_SND_BUCHI,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
s3_srvr_1a_true-unreach-call_false-termination.cil.c_Iteration3.ats,false,true,516,13,823,435,74,0,0,0,435,8017,NCSB+Tarjan,185,false
s3_srvr_1a_true-unreach-call_false-termination.cil.c_Iteration3.ats,false,true,516,13,823,435,74,597,4068,2417,435,7289,ASCC+Antichain,114,false
s3_srvr_1a_true-unreach-call_false-termination.cil.c_Iteration3.ats,false,true,516,13,823,435,74,0,0,0,435,7593,ASCC,63,false
s3_srvr_1a_true-unreach-call_false-termination.cil.c_Iteration3.ats,false,true,516,13,823,435,74,0,0,0,0,0,RABIT,6588,false
cstrncmp_malloc_true-termination.c.i_Iteration3.ats,true,true,20,10,22,83,41,0,0,0,83,55,NCSB+Tarjan,1,true
cstrncmp_malloc_true-termination.c.i_Iteration3.ats,true,true,20,10,22,83,41,0,12,43,83,55,ASCC+Antichain,0,true
cstrncmp_malloc_true-termination.c.i_Iteration3.ats,true,true,20,10,22,83,41,0,0,0,83,55,ASCC,1,true
cstrncmp_malloc_true-termination.c.i_Iteration3.ats,true,true,20,10,22,83,41,0,0,0,0,0,RABIT,88,true
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c_Iteration3.ats,false,true,217,5,390,50,16,0,0,0,30,32,NCSB+Tarjan,1,false
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c_Iteration3.ats,false,true,217,5,390,50,16,0,0,5,30,23,ASCC+Antichain,0,false
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c_Iteration3.ats,false,true,217,5,390,50,16,0,0,0,30,23,ASCC,0,false
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c_Iteration3.ats,false,true,217,5,390,50,16,0,0,0,0,0,RABIT,689,false
Sunset_false-termination_true-no-overflow.c_Iteration6.ats,false,true,28,11,36,54,12,0,0,0,52,1063,NCSB+Tarjan,4,false
Sunset_false-termination_true-no-overflow.c_Iteration6.ats,false,true,28,11,36,54,12,15,466,235,52,765,ASCC+Antichain,7,false
Sunset_false-termination_true-no-overflow.c_Iteration6.ats,false,true,28,11,36,54,12,0,0,0,52,967,ASCC,4,false
Sunset_false-termination_true-no-overflow.c_Iteration6.ats,false,true,28,11,36,54,12,0,0,0,0,0,RABIT,355,false
min_rf_true-termination.c_Iteration2.ats,false,true,30,8,46,29,12,0,0,0,29,47,NCSB+Tarjan,1,false
min_rf_true-termination.c_Iteration2.ats,false,true,30,8,46,29,12,0,0,2,29,35,ASCC+Antichain,0,false
min_rf_true-termination.c_Iteration2.ats,false,true,30,8,46,29,12,0,0,0,29,35,ASCC,0,false
min_rf_true-termination.c_Iteration2.ats,false,true,30,8,46,29,12,0,0,0,0,0,RABIT,117,false
