FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,PAIR_REJECT_ANTICHAIN,PAIR_DELETE_ANTICHAIN,PAIR_INGNORE_ANTICHAIN,PAIR_LEFT_ANTICHAIN,TRANS_USED_SND_BUCHI,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
a.01_true-termination_true-no-overflow.c_Iteration3.ats,true,true,8,6,9,32,13,0,0,0,0,32,20,NCSB+Tarjan,4,false
a.01_true-termination_true-no-overflow.c_Iteration3.ats,true,true,8,6,9,32,13,0,1,0,4,32,20,ASCC+Antichain,5,false
a.01_true-termination_true-no-overflow.c_Iteration3.ats,true,true,8,6,9,32,13,0,0,0,0,32,20,ASCC,4,false
a.01_true-termination_true-no-overflow.c_Iteration3.ats,true,true,8,6,9,32,13,0,0,0,0,0,0,RABIT,143,false
a.01_true-termination_true-no-overflow.c_Iteration4.ats,false,true,12,3,15,23,13,0,0,0,0,23,27,NCSB+Tarjan,4,true
a.01_true-termination_true-no-overflow.c_Iteration4.ats,false,true,12,3,15,23,13,0,5,5,19,23,27,ASCC+Antichain,6,true
a.01_true-termination_true-no-overflow.c_Iteration4.ats,false,true,12,3,15,23,13,0,0,0,0,23,27,ASCC,5,true
a.01_true-termination_true-no-overflow.c_Iteration4.ats,false,true,12,3,15,23,13,0,0,0,0,0,0,RABIT,222,true
a.05-alloca_true-termination_true-no-overflow.c.i_Iteration2.ats,true,true,16,15,16,65,24,0,0,0,0,65,60,NCSB+Tarjan,8,true
a.05-alloca_true-termination_true-no-overflow.c.i_Iteration2.ats,true,true,16,15,16,65,24,0,20,3,38,65,59,ASCC+Antichain,9,true
a.05-alloca_true-termination_true-no-overflow.c.i_Iteration2.ats,true,true,16,15,16,65,24,0,0,0,0,65,60,ASCC,8,true
a.05-alloca_true-termination_true-no-overflow.c.i_Iteration2.ats,true,true,16,15,16,65,24,0,0,0,0,0,0,RABIT,109,true
a.08-alloca_true-termination_true-no-overflow.c.i_Iteration2.ats,true,true,19,55,19,117,27,0,0,0,0,117,200,NCSB+Tarjan,15,true
a.08-alloca_true-termination_true-no-overflow.c.i_Iteration2.ats,true,true,19,55,19,117,27,0,0,14,200,117,200,ASCC+Antichain,19,true
a.08-alloca_true-termination_true-no-overflow.c.i_Iteration2.ats,true,true,19,55,19,117,27,0,0,0,0,117,200,ASCC,16,true
a.08-alloca_true-termination_true-no-overflow.c.i_Iteration2.ats,true,true,19,55,19,117,27,0,0,0,0,0,0,RABIT,124,true
a.10-alloca_true-termination_true-no-overflow.c.i_Iteration2.ats,false,true,67,32,77,97,26,0,0,0,0,97,544,NCSB+Tarjan,19,false
a.10-alloca_true-termination_true-no-overflow.c.i_Iteration2.ats,false,true,67,32,77,97,26,7,55,31,283,97,458,ASCC+Antichain,21,false
a.10-alloca_true-termination_true-no-overflow.c.i_Iteration2.ats,false,true,67,32,77,97,26,0,0,0,0,97,480,ASCC,17,false
a.10-alloca_true-termination_true-no-overflow.c.i_Iteration2.ats,false,true,67,32,77,97,26,0,0,0,0,0,0,RABIT,483,false
aaron3_true-termination_true-valid-memsafety.c_Iteration2.ats,false,true,17,8,20,43,20,0,0,0,0,43,100,NCSB+Tarjan,9,true
aaron3_true-termination_true-valid-memsafety.c_Iteration2.ats,false,true,17,8,20,43,20,0,49,13,36,43,98,ASCC+Antichain,12,true
aaron3_true-termination_true-valid-memsafety.c_Iteration2.ats,false,true,17,8,20,43,20,0,0,0,0,43,100,ASCC,10,true
aaron3_true-termination_true-valid-memsafety.c_Iteration2.ats,false,true,17,8,20,43,20,0,0,0,0,0,0,RABIT,318,true
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c_Iteration2.ats,true,true,8,6,11,60,17,0,0,0,0,60,69,NCSB+Tarjan,10,false
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c_Iteration2.ats,true,true,8,6,11,60,17,0,0,5,24,60,64,ASCC+Antichain,9,false
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c_Iteration2.ats,true,true,8,6,11,60,17,0,0,0,0,60,68,ASCC,9,false
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c_Iteration2.ats,true,true,8,6,11,60,17,0,0,0,0,0,0,RABIT,191,false
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c_Iteration3.ats,false,true,35,7,56,41,17,0,0,0,0,38,45,NCSB+Tarjan,5,false
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c_Iteration3.ats,false,true,35,7,56,41,17,0,0,1,1,27,18,ASCC+Antichain,4,false
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c_Iteration3.ats,false,true,35,7,56,41,17,0,0,0,0,27,18,ASCC,4,false
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c_Iteration3.ats,false,true,35,7,56,41,17,0,0,0,0,0,0,RABIT,166,false
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration2.ats,true,true,8,6,10,48,17,0,0,0,0,48,24,NCSB+Tarjan,5,false
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration2.ats,true,true,8,6,10,48,17,0,1,2,4,48,24,ASCC+Antichain,6,false
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration2.ats,true,true,8,6,10,48,17,0,0,0,0,48,24,ASCC,6,false
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration2.ats,true,true,8,6,10,48,17,0,0,0,0,0,0,RABIT,143,false
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration3.ats,false,true,25,3,35,36,17,0,0,0,0,36,35,NCSB+Tarjan,5,false
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration3.ats,false,true,25,3,35,36,17,1,0,3,10,36,35,ASCC+Antichain,6,false
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration3.ats,false,true,25,3,35,36,17,0,0,0,0,36,35,ASCC,8,false
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration3.ats,false,true,25,3,35,36,17,0,0,0,0,0,0,RABIT,179,false
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c_Iteration4.ats,false,true,26,3,35,36,17,0,0,0,0,36,75,NCSB+Tarjan,8,true
