FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,PAIR_REJECT_ANTICHAIN,PAIR_DELETE_ANTICHAIN,PAIR_INGNORE_ANTICHAIN,PAIR_LEFT_ANTICHAIN,TRANS_USED_SND_BUCHI,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,0,0,0,0,0,73,DifferenceTarjan+TreeSet+BA,22,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,0,0,0,0,0,71,DifferenceTarjan+TreeSet+GBA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,0,0,0,0,0,73,DifferenceTarjan+TreeSet+lazyS+BA,22,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,0,0,0,0,0,71,DifferenceTarjan+TreeSet+lazyS+GBA,23,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,0,0,0,0,0,71,DifferenceTarjan+TreeSet+lazyB+BA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,0,0,0,0,0,70,DifferenceTarjan+TreeSet+lazyB+GBA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,0,0,0,0,0,71,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,0,0,0,0,0,70,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,23,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration6.ats,false,false,78,5,85,24,30,0,0,0,0,0,117,DifferenceTarjan+TreeSet+BA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration6.ats,false,false,78,5,85,24,30,0,0,0,0,0,115,DifferenceTarjan+TreeSet+GBA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration6.ats,false,false,78,5,85,24,30,0,0,0,0,0,117,DifferenceTarjan+TreeSet+lazyS+BA,29,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration6.ats,false,false,78,5,85,24,30,0,0,0,0,0,115,DifferenceTarjan+TreeSet+lazyS+GBA,20,false
