FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,73,DifferenceTarjan+TreeSet+BA,62,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,71,DifferenceTarjan+TreeSet+GBA,67,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,73,DifferenceTarjan+TreeSet+lazyS+BA,59,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,71,DifferenceTarjan+TreeSet+lazyS+GBA,39,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,71,DifferenceTarjan+TreeSet+lazyB+BA,32,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,70,DifferenceTarjan+TreeSet+lazyB+GBA,32,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,71,DifferenceTarjan+TreeSet+lazyS+lazyB+BA,52,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,70,DifferenceTarjan+TreeSet+lazyS+lazyB+GBA,47,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration6.ats,false,false,78,5,85,24,30,117,DifferenceTarjan+TreeSet+BA,44,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration6.ats,false,false,78,5,85,24,30,115,DifferenceTarjan+TreeSet+GBA,63,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration6.ats,false,false,78,5,85,24,30,117,DifferenceTarjan+TreeSet+lazyS+BA,34,false
