FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,71,DifferenceAntichain+TreeSet+GBA,15,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,71,DifferenceAntichain+TreeSet+lazyS+GBA,16,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,70,DifferenceAntichain+TreeSet+lazyB+GBA,15,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,70,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,16,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration6.ats,false,false,78,5,85,24,30,112,DifferenceAntichain+TreeSet+GBA,17,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration6.ats,false,false,78,5,85,24,30,112,DifferenceAntichain+TreeSet+lazyS+GBA,16,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration6.ats,false,false,78,5,85,24,30,111,DifferenceAntichain+TreeSet+lazyB+GBA,17,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration6.ats,false,false,78,5,85,24,30,111,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,16,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceAntichain+TreeSet+GBA,22,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceAntichain+TreeSet+lazyS+GBA,22,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceAntichain+TreeSet+lazyB+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,70,DifferenceAntichain+TreeSet+GBA,16,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,70,DifferenceAntichain+TreeSet+lazyS+GBA,15,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,69,DifferenceAntichain+TreeSet+lazyB+GBA,15,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,69,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,16,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,100,DifferenceAntichain+TreeSet+GBA,16,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,100,DifferenceAntichain+TreeSet+lazyS+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,100,DifferenceAntichain+TreeSet+lazyB+GBA,16,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,100,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,16,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceAntichain+TreeSet+GBA,22,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceAntichain+TreeSet+lazyS+GBA,28,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceAntichain+TreeSet+lazyB+GBA,22,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,27,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,70,DifferenceAntichain+TreeSet+GBA,15,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,70,DifferenceAntichain+TreeSet+lazyS+GBA,15,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,69,DifferenceAntichain+TreeSet+lazyB+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,69,DifferenceAntichain+TreeSet+lazyS+lazyB+GBA,16,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,100,DifferenceAntichain+TreeSet+GBA,16,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,100,DifferenceAntichain+TreeSet+lazyS+GBA,15,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,100,DifferenceAntichain+TreeSet+lazyB+GBA,16,false
