FILE,LHS_SEMIDETERMINISTIC,RHS_SEMIDETERMINISTIC,LHS_STATES,RHS_STATES,LHS_TRANS,RHS_TRANS,ALPHABET_SIZE,RESULT_STATES,ALGORITHM,RUNTIME(ms),RESULT
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,73,DifferenceAscc+TreeSet+BA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,71,DifferenceAscc+TreeSet+GBA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,71,DifferenceAscc+TreeSet+lazyS+GBA,22,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,70,DifferenceAscc+TreeSet+lazyB+GBA,19,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration4.ats,false,false,37,9,40,31,30,70,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,22,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration6.ats,false,false,78,5,85,24,30,117,DifferenceAscc+TreeSet+BA,22,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration6.ats,false,false,78,5,85,24,30,115,DifferenceAscc+TreeSet+GBA,23,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration6.ats,false,false,78,5,85,24,30,115,DifferenceAscc+TreeSet+lazyS+GBA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration6.ats,false,false,78,5,85,24,30,114,DifferenceAscc+TreeSet+lazyB+GBA,19,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration6.ats,false,false,78,5,85,24,30,114,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,22,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration7.ats,false,false,89,15,96,62,30,175,DifferenceAscc+TreeSet+BA,32,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceAscc+TreeSet+GBA,27,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceAscc+TreeSet+lazyS+GBA,27,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceAscc+TreeSet+lazyB+GBA,27,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY2_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,25,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,72,DifferenceAscc+TreeSet+BA,23,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,70,DifferenceAscc+TreeSet+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,70,DifferenceAscc+TreeSet+lazyS+GBA,21,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,69,DifferenceAscc+TreeSet+lazyB+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration4.ats,false,false,36,9,39,31,30,69,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,117,DifferenceAscc+TreeSet+BA,19,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,115,DifferenceAscc+TreeSet+GBA,23,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,115,DifferenceAscc+TreeSet+lazyS+GBA,19,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,114,DifferenceAscc+TreeSet+lazyB+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration6.ats,false,false,77,5,84,24,30,114,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,19,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,175,DifferenceAscc+TreeSet+BA,32,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceAscc+TreeSet+GBA,33,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,173,DifferenceAscc+TreeSet+lazyS+GBA,27,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceAscc+TreeSet+lazyB+GBA,30,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_INTSET_LAZY3_Iteration7.ats,false,false,89,15,96,62,30,172,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,27,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,72,DifferenceAscc+TreeSet+BA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,70,DifferenceAscc+TreeSet+GBA,23,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,70,DifferenceAscc+TreeSet+lazyS+GBA,23,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,69,DifferenceAscc+TreeSet+lazyB+GBA,29,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration4.ats,false,false,36,9,39,31,30,69,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,117,DifferenceAscc+TreeSet+BA,19,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,115,DifferenceAscc+TreeSet+GBA,29,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,115,DifferenceAscc+TreeSet+lazyS+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,114,DifferenceAscc+TreeSet+lazyB+GBA,22,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration6.ats,false,false,77,5,84,24,30,114,DifferenceAscc+TreeSet+lazyS+lazyB+GBA,20,false
4BitCounterPointer_true-no-overflow_true-termination_true-valid-memsafety.c_ORIGINAL_Iteration7.ats,false,false,89,15,96,62,30,175,DifferenceAscc+TreeSet+BA,31,false
